2019-11-27 16:10:41.887 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.1365 ms
2019-11-27 16:10:41.946 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.3592 ms
2019-11-27 16:10:42.062 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0564 ms
2019-11-27 16:11:53.914 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 130.1761 ms
2019-11-27 16:11:53.914 +02:00 [INF] HTTP GET /notification?id=vLCbl3FSzdkA3AyWLwi06g responded 101 in 71972.2052 ms
2019-11-27 16:11:54.566 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7027 ms
2019-11-27 16:11:54.625 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 4.5395 ms
2019-11-27 16:11:54.775 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8311 ms
2019-11-27 16:13:18.304 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 44.4103 ms
2019-11-27 16:13:18.322 +02:00 [INF] HTTP GET /notification?id=Q1b3P-etJm--o43IaLS9SQ responded 101 in 83697.0834 ms
2019-11-27 16:13:18.930 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5602 ms
2019-11-27 16:13:18.985 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 2.4881 ms
2019-11-27 16:13:19.049 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.4454 ms
2019-11-27 16:13:22.411 +02:00 [INF] HTTP GET /notification?id=3GfC6S3ffnLfugQ1ngYICw responded 101 in 3432.5085 ms
2019-11-27 16:13:22.476 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 300.7639 ms
2019-11-27 16:13:23.290 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.2002 ms
2019-11-27 16:13:23.376 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4404 ms
2019-11-27 16:13:23.667 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9801 ms
2019-11-27 16:14:25.318 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 166.0747 ms
2019-11-27 16:14:25.425 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 41.2128 ms
2019-11-27 16:14:25.861 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 6.8843 ms
2019-11-27 16:14:26.022 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6391 ms
2019-11-27 16:14:26.038 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9316 ms
2019-11-27 16:14:40.283 +02:00 [INF] HTTP GET /notification?id=_WEguYaGZriDqLv5Rc1k0g responded 101 in 14378.7827 ms
2019-11-27 16:14:40.291 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 272.8908 ms
2019-11-27 16:14:41.069 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4846 ms
2019-11-27 16:14:41.383 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.9221 ms
2019-11-27 16:14:41.391 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.5828 ms
2019-11-27 16:14:44.586 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=00c5ff72-6b50-42a2-9d2a-af6b3ca38893 responded 200 in 17.4445 ms
2019-11-27 16:14:45.998 +02:00 [INF] Status of email with id 00c5ff72-6b50-42a2-9d2a-af6b3ca38893 has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:45. From status: NotReviewed to status: New.
2019-11-27 16:14:46.015 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=00c5ff72-6b50-42a2-9d2a-af6b3ca38893&status=New responded 200 in 37.026 ms
2019-11-27 16:14:46.089 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 51.5246 ms
2019-11-27 16:14:46.105 +02:00 [INF] HTTP GET /notification?id=GCr-DWcqZYSDIpMHqdJQsQ responded 101 in 5011.6428 ms
2019-11-27 16:14:46.215 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5437 ms
2019-11-27 16:14:46.539 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.42 ms
2019-11-27 16:14:46.549 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6329 ms
2019-11-27 16:14:49.157 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 149.196 ms
2019-11-27 16:14:49.160 +02:00 [INF] HTTP GET /notification?id=yWLzVinQrU_rvhkdWt3Eqw responded 101 in 2745.6934 ms
2019-11-27 16:14:50.060 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4202 ms
2019-11-27 16:14:50.339 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 2.0822 ms
2019-11-27 16:14:50.359 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6328 ms
2019-11-27 16:14:51.046 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=04e4f8e7-f9af-4b05-a650-e1376d0757c2 responded 200 in 10.9953 ms
2019-11-27 16:14:52.478 +02:00 [INF] Status of email with id 04e4f8e7-f9af-4b05-a650-e1376d0757c2 has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:52. From status: NotReviewed to status: InvalidApplication.
2019-11-27 16:14:52.495 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=04e4f8e7-f9af-4b05-a650-e1376d0757c2&status=InvalidApplication responded 200 in 27.4153 ms
2019-11-27 16:14:54.035 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=0978efed-9f46-4559-9439-17cb1d5ded0f responded 200 in 23.7502 ms
2019-11-27 16:14:55.276 +02:00 [INF] Status of email with id 0978efed-9f46-4559-9439-17cb1d5ded0f has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:55. From status: NotReviewed to status: InvalidApplication.
